longitude,latitude,source,countryCode,basisOfRecord
-83.9519,10.0114,F,,PreservedSpecimen
-84.8978,12.8614,F,,PreservedSpecimen
-84.8978,12.8614,F,,PreservedSpecimen
-84.8978,12.8614,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-79.9106,8.5714,F,,PreservedSpecimen
-105.0,22.0,F,,PreservedSpecimen
-83.9519,10.0114,F,,PreservedSpecimen
-84.8978,12.8614,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-96.6667,19.3333,F,,PreservedSpecimen
-96.6667,19.3333,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-84.8978,12.8614,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-96.5,17.0,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-83.9519,10.0114,F,,PreservedSpecimen
-83.9519,10.0114,F,,PreservedSpecimen
-79.9106,8.5714,F,,PreservedSpecimen
-79.9106,8.5714,F,,PreservedSpecimen
-96.6667,19.3333,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-84.8978,12.8614,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-84.8978,12.8614,F,,PreservedSpecimen
-79.9106,8.5714,F,,PreservedSpecimen
-88.525,17.215,F,,PreservedSpecimen
-88.6819,13.7825,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-88.6819,13.7825,F,,PreservedSpecimen
-83.9519,10.0114,F,,PreservedSpecimen
-83.9519,10.0114,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-83.9519,10.0114,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-84.8978,12.8614,F,,PreservedSpecimen
-83.9519,10.0114,F,,PreservedSpecimen
-96.6667,19.3333,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-96.6667,19.3333,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-90.1792,15.7422,F,,PreservedSpecimen
-63.06667,-17.41972,W,BOL,PreservedSpecimen
-63.33972,-17.55889,W,BOL,PreservedSpecimen
-63.24444,-17.99,W,BOL,PreservedSpecimen
-67.8683334,-9.9588889,JBRJ,BR,PreservedSpecimen
-42.0433333,-22.4166667,JBRJ,BR,PreservedSpecimen
145.2125534847,-7.3590580266,iNaturalist,PG,HumanObservation
-56.78,-9.356667,UNEMAT,,PreservedSpecimen
-75.03119659,5.132699966,Universidad Nacional de Colombia (UNAL),CO,PreservedSpecimen
-60.0844064679,-3.0156440378,iNaturalist,BR,HumanObservation
-75.8337473,5.61106054,iNaturalist,CO,HumanObservation
-72.879555,6.99675,Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH),CO,PreservedSpecimen
-72.894916,6.9901111,Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH),CO,PreservedSpecimen
-74.2131111,6.0696944,Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH),CO,PreservedSpecimen
-74.2256944,6.1203333,Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH),CO,PreservedSpecimen
-74.2242778,6.0868056,Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH),CO,PreservedSpecimen
-74.1196667,6.4384167,Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH),CO,PreservedSpecimen
-74.1196667,6.4384167,Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH),CO,PreservedSpecimen
-74.1269167,6.4388333,Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH),CO,PreservedSpecimen
-76.5791111,3.770676,Universidad del Valle (UV),CO,PreservedSpecimen
-76.572136,3.774425,Universidad del Valle (UV),CO,PreservedSpecimen
-76.572011,3.782862,Universidad del Valle (UV),CO,PreservedSpecimen
-76.57559,3.768894,Universidad del Valle (UV),CO,PreservedSpecimen
-76.575573,3.769166,Universidad del Valle (UV),CO,PreservedSpecimen
-76.578681,3.77168,Universidad del Valle (UV),CO,PreservedSpecimen
-76.571934,3.773784,Universidad del Valle (UV),CO,PreservedSpecimen
-76.576597,3.764458,Universidad del Valle (UV),CO,PreservedSpecimen
-76.575213,3.764608,Universidad del Valle (UV),CO,PreservedSpecimen
-76.571934,3.773784,Universidad del Valle (UV),CO,PreservedSpecimen
-76.579746,3.771093,Universidad del Valle (UV),CO,PreservedSpecimen
-76.576696,3.766168,Universidad del Valle (UV),CO,PreservedSpecimen
-76.1158333,4.5861111,Universidad del Valle (UV),CO,PreservedSpecimen
-76.1158333,4.5861111,Universidad del Valle (UV),CO,PreservedSpecimen
-76.584056,3.578526,Universidad del Valle (UV),CO,PreservedSpecimen
-76.6758888,3.7299444,Universidad del Valle (UV),CO,PreservedSpecimen
-76.6758888,3.7299444,Universidad del Valle (UV),CO,PreservedSpecimen
-88.0,15.4167,F,,PreservedSpecimen
-87.0,15.6667,F,,PreservedSpecimen
-87.1667,14.25,F,,PreservedSpecimen
-87.1667,14.25,F,,PreservedSpecimen
-87.1667,14.25,F,,PreservedSpecimen
-87.1667,14.25,F,,PreservedSpecimen
-87.0833,13.3333,F,,PreservedSpecimen
-88.5833,14.5,F,,PreservedSpecimen
-87.1667,14.25,F,,PreservedSpecimen
-88.1667,14.3333,F,,PreservedSpecimen
-88.0,15.4167,F,,PreservedSpecimen
-87.6667,14.5833,F,,PreservedSpecimen
-87.0,15.6667,F,,PreservedSpecimen
-87.6667,14.5833,F,,PreservedSpecimen
-87.1667,15.25,F,,PreservedSpecimen
-87.0,15.6667,F,,PreservedSpecimen
-88.0,15.4167,F,,PreservedSpecimen
-89.0,14.5,F,,PreservedSpecimen
-87.6667,14.5833,F,,PreservedSpecimen
-87.6667,14.5833,F,,PreservedSpecimen
-87.6667,14.5833,F,,PreservedSpecimen
-87.0833,13.3333,F,,PreservedSpecimen
-87.1667,14.25,F,,PreservedSpecimen
-88.0,15.4167,F,,PreservedSpecimen
-87.6667,14.5833,F,,PreservedSpecimen
-87.6667,14.5833,F,,PreservedSpecimen
-87.0,15.6667,F,,PreservedSpecimen
-88.0,15.4167,F,,PreservedSpecimen
-87.6667,14.5833,F,,PreservedSpecimen
-87.1667,14.25,F,,PreservedSpecimen
-88.0,15.4167,F,,PreservedSpecimen
-88.3333,15.0833,F,,PreservedSpecimen
-87.6667,14.5833,F,,PreservedSpecimen
-87.1667,14.25,F,,PreservedSpecimen
-87.6667,14.5833,F,,PreservedSpecimen
-87.6667,14.5833,F,,PreservedSpecimen
-88.3333,15.0833,F,,PreservedSpecimen
-87.6667,14.5833,F,,PreservedSpecimen
-87.0,15.6667,F,,PreservedSpecimen
-87.6667,14.5833,F,,PreservedSpecimen
-87.0,15.6667,F,,PreservedSpecimen
-87.1667,15.25,F,,PreservedSpecimen
-87.6667,14.5833,F,,PreservedSpecimen
-87.6667,14.5833,F,,PreservedSpecimen
-87.6667,14.5833,F,,PreservedSpecimen
-87.1667,14.25,F,,PreservedSpecimen
-87.1667,14.25,F,,PreservedSpecimen
-87.6667,14.5833,F,,PreservedSpecimen
-87.0,15.6667,F,,PreservedSpecimen
-87.0,15.6667,F,,PreservedSpecimen
-88.0,15.4167,F,,PreservedSpecimen
-87.0,15.6667,F,,PreservedSpecimen
-87.6667,14.5833,F,,PreservedSpecimen
-87.1667,15.25,F,,PreservedSpecimen
-87.6667,14.5833,F,,PreservedSpecimen
-87.0833,13.3333,F,,PreservedSpecimen
-87.1667,14.25,F,,PreservedSpecimen
-88.0,15.4167,F,,PreservedSpecimen
-49.500278,-20.288333,UNESP-IBILCE,,PreservedSpecimen
-49.246389,-20.543611,UNESP-IBILCE,,PreservedSpecimen
-50.348611,-20.926111,UNESP-IBILCE,,PreservedSpecimen
-48.537222,-21.620556,UNESP-IBILCE,,PreservedSpecimen
-48.917778,-21.22,UNESP-IBILCE,,PreservedSpecimen
-49.356152,-20.780597,UNESP-IBILCE,,PreservedSpecimen
-49.3544444,-20.77694444,UNESP-IBILCE,,PreservedSpecimen
-49.380556,-20.81,UNESP-IBILCE,,PreservedSpecimen
-49.380556,-20.81,UNESP-IBILCE,,PreservedSpecimen
-49.380556,-20.81,UNESP-IBILCE,,PreservedSpecimen
-49.380556,-20.81,UNESP-IBILCE,,PreservedSpecimen
-49.380556,-20.81,UNESP-IBILCE,,PreservedSpecimen
-49.380556,-20.81,UNESP-IBILCE,,PreservedSpecimen
-49.3544444,-20.77694444,UNESP-IBILCE,,PreservedSpecimen
-49.516667,-19.916667,UNESP-IBILCE,,PreservedSpecimen
-89.15,14.35,MICH,,PreservedSpecimen
-87.83268,14.598,MICH,,PreservedSpecimen
-87.86796,14.51512,MICH,,PreservedSpecimen
-87.83268,14.598,MICH,,PreservedSpecimen
101.762974,3.1624608,iNaturalist,MY,HumanObservation
-79.479471,-1.514285,Unknown,EC,HumanObservation
-77.104662,-0.601018,Unknown,EC,HumanObservation
-80.109026,-3.987519,Unknown,EC,HumanObservation
-78.923718,-4.61165,Unknown,EC,HumanObservation
-40.609514,-19.990989,INMA,,PreservedSpecimen
-40.8177778,-19.6022222,UFES,,PreservedSpecimen
-39.24,-16.020556,CEPLAC,,PreservedSpecimen
-39.959444,-13.139722,CEPLAC,,PreservedSpecimen
-39.420278,-16.379722,CEPLAC,,PreservedSpecimen
-39.017778,-14.223611,CEPLAC,,PreservedSpecimen
-39.50436,-13.57511,UESB,,PreservedSpecimen
-47.014167,-23.495278,USP-IB,,PreservedSpecimen
-48.311111,-15.776111,Cenargen,,PreservedSpecimen
-48.311111,-15.776111,Cenargen,,PreservedSpecimen
-48.311111,-15.776111,Cenargen,,PreservedSpecimen
-48.016111,-15.825555,Cenargen,,PreservedSpecimen
-36.574436,-9.51895,IMA,,PreservedSpecimen
-36.408836,-9.660672,IMA,,PreservedSpecimen
-36.408836,-9.660672,IMA,,PreservedSpecimen
